t,b
http://dbpedia.org/resource/24-Carat_Black,http://dbpedia.org/ontology/abstract
http://dbpedia.org/resource/24-Carat_Black,http://dbpedia.org/ontology/activeYearsEndYear
http://dbpedia.org/resource/24-Carat_Black,http://dbpedia.org/ontology/activeYearsStartYear
http://dbpedia.org/resource/24-Carat_Black,http://dbpedia.org/ontology/associatedBand
http://dbpedia.org/resource/24-Carat_Black,http://dbpedia.org/ontology/associatedMusicalArtist
http://dbpedia.org/resource/24-Carat_Black,http://dbpedia.org/ontology/background
http://dbpedia.org/resource/24-Carat_Black,http://dbpedia.org/ontology/genre
http://dbpedia.org/resource/24-Carat_Black,http://dbpedia.org/ontology/hometown
http://dbpedia.org/resource/24-Carat_Black,http://dbpedia.org/ontology/recordLabel
http://dbpedia.org/resource/24-Carat_Black,http://dbpedia.org/property/pastMembers
http://dbpedia.org/resource/24-Carat_Black,http://purl.org/linguistics/gold/hypernym
http://dbpedia.org/resource/2562_(musician),http://www.w3.org/2000/01/rdf-schemalabel
http://dbpedia.org/resource/2562_(musician),http://www.w3.org/2000/01/rdf-schemacomment
http://dbpedia.org/resource/2562_(musician),http://www.w3.org/2002/07/owlsameAs
http://dbpedia.org/resource/2562_(musician),http://purl.org/dc/terms/subject
http://dbpedia.org/resource/2562_(musician),http://dbpedia.org/ontology/wikiPageID
http://dbpedia.org/resource/2562_(musician),http://dbpedia.org/ontology/wikiPageRevisionID
http://dbpedia.org/resource/2562_(musician),http://dbpedia.org/ontology/wikiPageExternalLink
http://dbpedia.org/resource/2562_(musician),http://xmlns.com/foaf/0.1/name
